SRC_ID,DST_ID,SRC_NAME,DST_NAME
g1121057-d1311756,09407ab2020129712,那須高原,那須高原
g1022876-d8149548,03205cc3290032174,花巻新渡戸記念館,花巻新渡戸記念館
g1023589-d11716208,32205cc3360048329,道の駅 ロード銀山,道の駅 ロード銀山
g1121432-d8016443,guide000000162457,多度津町立資料館,多度津町立資料館
g1121435-d6817202,38382cc3290135540,面河山岳博物館,面河山岳博物館
g1021311-d4262923,20206cc3300159365,サンリツ服部美術館,サンリツ服部美術館
g298566-d11898455,guide000000187651,香具波志神社,香具波志神社
g1022846-d2083129,42441af2170020529,金石城跡,金石城跡
g780841-d1372667,guide000000184875,国営ひたち海浜公園,国営ひたち海浜公園
g1021423-d1425299,09209ca3440056425,もおか鬼怒公園ゴルフ倶楽部,もおか鬼怒公園ゴルフ倶楽部
g1021343-d552422,20209ac2102094100,高遠城址公園,高遠城址公園
g1119245-d1385053,15461ca3470057761,湯沢高原,湯沢高原
g298173-d1943474,14103cc3300033614,そごう美術館,そごう美術館
g298171-d5608446,guide000000192329,岡田美術館,岡田美術館
g311426-d1407500,16202aj2200025549,高岡大仏,高岡大仏
g1059454-d12406579,02404aa1030000846,十和田湖総合案内所,十和田湖総合案内所
g1123091-d8149144,10423aj2200126706,忠治地蔵,忠治地蔵
g1021274-d7272232,12466ag2130013690,小松寺,小松寺
g1021241-d8150283,17323ag2130009920,集福寺,集福寺
g1120975-d10606295,06381ga3552086742,よねおりかんこうセンター,よねおりかんこうセンター
g1021447-d7033639,guide000000180716,御坂農園グレープハウス,御坂農園グレープハウス
g1121188-d9597314,21361ag2130010201,禅幢寺,禅幢寺
g1121166-d7381674,17441aj2200025113,恋路海岸,恋路海岸
g1066457-d10355462,guide000000185990,真成院,真成院
g298108-d1310185,23207ad2150017048,御油の町並,御油の町並
g1121178-d2307714,guide000000165512,奈良田の里温泉,奈良田の里温泉
g1121287-d8486664,26461cc3290033344,加悦SL広場,加悦SL広場
g298560-d3154517,01108cc3320040607,サンピアザ水族館,サンピアザ水族館
g670168-d3932975,36204cd2110157583,かもだ岬温泉,かもだ岬温泉
g1022937-d1821326,46207ca3280039633,大浜海浜公園,大浜海浜公園
g298564-d1386078,26102ag2130010615,本法寺,本法寺
g298182-d6817000,09206ae3302053419,小杉放菴記念日光美術館,小杉放菴記念日光美術館
g1023583-d1373293,32405ae2190022715,出雲日御碕灯台,出雲日御碕灯台
g298131-d7187930,guide000000191237,山中鹿之助首塚,山中鹿之助首塚
g1021319-d12455070,20205aa1030001170,天龍峡温泉観光案内所,天龍峡温泉観光案内所
g1023567-d1424410,25207ac2102024918,もりやまバラ・ハーブ園,もりやまバラ・ハーブ園
g1121188-d7617168,21361cc3360048593,タルイピアセンター,タルイピアセンター
g298158-d7131854,12106cc3290032025,稲毛民間航空記念館,稲毛民間航空記念館
g1021198-d7363874,10362ah3330043002,桜山公園,桜山公園
g1120579-d7381123,20362cc3360162137,ゆ~とろん水神の湯,ゆ～とろん水神の湯
g1121451-d8011835,39344ad2250121404,八畝の棚田,八畝の棚田
g1019647-d1309418,23220ae3292020311,祖父江町郷土資料館,祖父江町郷土資料館
g298115-d2425314,guide000000187427,鈴木大拙館,鈴木大拙館
g1120981-d8408599,06428cd2112086969,庄内町ギャラリー温泉 町湯,庄内町ギャラリー温泉　町湯
g1023378-d8470350,26422ca3280151818,やくの木と漆の館,やくの木と漆の館
g1120418-d12819413,02443ab2040113673,みろくの滝,みろくの滝
g1022852-d1384803,42367ab2080007871,雲仙地獄,雲仙地獄
g1121325-d8148588,29426af2170132013,巣山古墳,巣山古墳
g303161-d1385339,02202ae2180021167,石場家住宅,石場家住宅
g1022873-d8149383,03487cc3290031459,宮古市北上山地民俗資料館,宮古市北上山地民俗資料館
g1120808-d6417147,47308cc3290030766,本部町立博物館,本部町立博物館
g1022851-d2083015,42385ah3330041896,たびら昆虫自然園,たびら昆虫自然園
g1023549-d1820289,41388ad3350046358,玄海海中展望塔,玄海海中展望塔
g1121611-d1384965,46535aj2202014656,沈船あまみ,沈船あまみ
g1121363-d1373456,31321ag2130015354,諏訪神社社殿,諏訪神社社殿
g1019680-d1602571,24202cc3290031286,四日市市立博物館,四日市市立博物館
g1023397-d12291495,26209aa1032045635,長岡京市観光案内所,長岡京市観光案内所
g1066445-d12851458,13123ae2180021287,一之江名主屋敷,一之江名主屋敷
g1023402-d8467286,26402ag2130015328,龍興寺,龍興寺
g780851-d1423908,07208cc3290030011,大和川酒蔵北方風土館,大和川酒蔵北方風土館
g1019676-d9594135,24405ag2130010455,薬師寺,薬師寺
g1121268-d8148948,25441ae2182074257,豊郷小学校旧校舎群,豊郷小学校旧校舎群
g1021360-d8293280,15210ag2132097254,諏訪神社,諏訪神社
g1022430-d6817201,34313cc3300033645,蘭島閣美術館,蘭島閣美術館
g1121559-d1641288,44341cc3300033977,二階堂美術館,二階堂美術館
g1121509-d6817193,41401cc3300033732,有田陶磁美術館,有田陶磁美術館
g1022356-d8284661,38354ae3302014466,ところミュージアム大三島,ところミュージアム大三島
g1121269-d8149473,25442cc3290031297,甲良豊後守宗廣記念館,甲良豊後守宗廣記念館
g1165976-d4496709,19426ah3330042879,八木崎公園,八木崎公園
g1023398-d7386903,26210ag2132052900,高良神社,高良神社
g1121126-d8149486,12443cc3290033121,月の沙漠記念館,月の沙漠記念館
g1120380-d3778554,01634ab2010001740,白雲山,白雲山
g1066454-d3865578,13111ah2142068672,池上梅園,池上梅園
g1023432-d4766607,44204cb3530080904,日田鮎やな場,日田鮎やな場
g1021367-d12938571,11206cb3410146290,さきたま緑道,さきたま緑道
g1023364-d12571126,43203ga3552052236,人吉温泉物産館,人吉温泉物産館
g1023574-d8523419,25363ag2130010517,八坂神社,八坂神社
g1023580-d1424375,25382af2170020810,悠久の丘蒲生あかね古墳公園,悠久の丘蒲生あかね古墳公園
g1123095-d6652350,10421ag2130015128,日向見薬師堂,日向見薬師堂
g303148-d6817135,22202cc3300033701,浜松市美術館,浜松市美術館
g1023414-d10841049,04543ga3550085141,道の駅 林林館,道の駅 林林館
g298147-d4006169,01666aa1030001344,道の駅阿寒丹頂の里,道の駅 阿寒丹頂の里
g1021250-d1423683,12219ca3440056801,太平洋クラブ市原コース,太平洋クラブ　市原コース
g1023432-d1424966,guide000000187327,サッポロビール　九州日田工場,サッポロビール九州日田工場
alikejpB001177530,guide000000173681,イオン 新浦安店,イオン新浦安店
g1121238-d3233168,23446cb3510079143,ジョイフルファーム 鵜の池,ジョイフルファーム鵜の池
g1023410-d13016482,04208cc3360049353,角田市 総合体育館,角田市総合体育館
g1021261-d1314473,12406ae3342020115,道の駅オライはすぬま,道の駅 オライはすぬま
g1019691-d3245211,21208ca3440056289,瑞浪高原 ゴルフ倶楽部,瑞浪高原ゴルフ倶楽部
g739128-d7108020,22215ca3440056301,太平洋クラブ御殿場コース,太平洋クラブ　御殿場コース
g1121367-d1373380,guide000000131014,道の駅北条公園,道の駅 北条公園
45206cc3362007031,45206cd2112045018,日向サンパーク温泉「お舟出の湯」,日向サンパーク温泉　お舟出の湯
g1019656-d1309973,23581aa1030001027,道の駅鳳来三河三石,道の駅 鳳来三河三石
g1023549-d1818535,41386ca3280039627,いろは島 花と冒険の島,いろは島・花と冒険の島
g1023574-d10212913,25209cd2112095860,水口温泉つばきの湯,水口温泉　つばきの湯
g1021366-d10002963,11226cc3290030085,川口市立文化財センター分館 郷土資料館,川口市立文化財センター分館郷土資料館
g1121221-d12918913,22461ca3280141664,森町体験の里 アクティ森,森町体験の里「アクティ森」
20220ga3552084050,20220cc3362077435,Vif 穂高,Vif穂高
g1403544-d13021752,20543cc3290164864,高山村 歴史民俗資料館,高山村歴史民俗資料館
g303148-d1017967,22202cc3340044926,エアーパーク（航空自衛隊 浜松広報館）,エアーパーク（航空自衛隊浜松広報館）
guide000000192125,guide000000187020,JR 有楽町駅,JR有楽町駅
g1120304-d1384245,01333aa1030000847,道の駅しりうち,道の駅 しりうち
g780848-d1384053,07209ae3342018053,道の駅そうま,道の駅 そうま
g1019667-d1312896,22213aj2200024896,ゲイスベルト ヘンミィの墓,ゲイスベルト・ヘンミィの墓
g1121388-d10521887,33461cc3540060337,水車の里 フルーツトピア,水車の里フルーツトピア
g1118447-d1873195,01457cc3290029876,アイスパビリオン,アイス・パビリオン
g298561-d1847812,guide000000178162,MAZDA Zoom-Zoom スタジアム 広島,ＭＡＺＤＡ　ＺＯＯＭ-ＺＯＯＭ　スタジアム広島
g1021360-d8862306,15210cc3362083105,道の駅瀬替えの郷せんだ,道の駅 瀬替えの郷せんだ
g1021366-d1397099,11203ae3302023950,川口市立アートギャラリーアトリア,川口市立アートギャラリー　アトリア
g1023437-d10244946,guide000000185905,音無井路 十二号 円形分水,音無井路十二号円形分水
g1022938-d1384915,46345cc3362014623,道の駅川辺やすらぎの郷,道の駅 川辺やすらぎの郷
g298182-d1425321,09383ca3470058127,エーデルワイス スキーリゾート,エーデルワイススキーリゾート
